Loan ID,Month,Origination Date,Loan Age,Quarter,FICO Score,LTV,Interest Rate,DSCR,Credit Utilization,Credit Score,Original Balance,Current Balance
LOAN_000014,4,11/14/2019,5,2020Q2,699,74.92,4.492,1.38,25.6,680,443034,404886
LOAN_000014,5,11/14/2019,6,2020Q2,699,74.92,4.492,1.63,35.5,680,443034,397256
LOAN_000014,6,11/14/2019,7,2020Q2,699,74.92,4.492,1.41,34.2,680,443034,389627
LOAN_000014,7,11/14/2019,8,2020Q3,699,74.92,4.492,1.26,35,680,443034,381997
LOAN_000014,8,11/14/2019,9,2020Q3,699,74.92,4.492,1.46,40.9,680,443034,374368
LOAN_000015,9,8/31/2020,1,2020Q3,677,88.51,4.967,2.07,47,678,260293,255996
LOAN_000015,10,8/31/2020,2,2020Q4,677,88.51,4.967,2.15,35.3,678,260293,251699
LOAN_000015,11,8/31/2020,3,2020Q4,677,88.51,4.967,1.97,40.9,678,260293,247402
LOAN_000015,12,8/31/2020,4,2020Q4,677,88.51,4.967,2.17,34.7,678,260293,243106
LOAN_000015,1,8/31/2020,5,2021Q1,677,88.51,4.967,1.82,39.5,678,260293,238809
LOAN_000015,2,8/31/2020,6,2021Q1,677,88.51,4.967,2.16,39.8,678,260293,234512
LOAN_000015,3,8/31/2020,7,2021Q1,677,88.51,4.967,2.13,33.2,678,260293,230216
LOAN_000015,4,8/31/2020,8,2021Q2,677,88.51,4.967,2.1,46.7,678,260293,225919
LOAN_000015,5,8/31/2020,9,2021Q2,677,88.51,4.967,2.01,34.2,678,260293,221622
LOAN_000015,6,8/31/2020,10,2021Q2,677,88.51,4.967,2.1,37.4,678,260293,217325
LOAN_000015,7,8/31/2020,11,2021Q3,677,88.51,4.967,2.11,37.7,678,260293,213029
LOAN_000015,8,8/31/2020,12,2021Q3,677,88.51,4.967,2.08,36.6,678,260293,208732
LOAN_000015,9,8/31/2020,13,2021Q3,677,88.51,4.967,1.96,42.2,678,260293,204435
LOAN_000015,10,8/31/2020,14,2021Q4,677,88.51,4.967,2.07,37.9,678,260293,200139
LOAN_000015,11,8/31/2020,15,2021Q4,677,88.51,4.967,2.04,42,678,260293,195842
LOAN_000015,12,8/31/2020,16,2021Q4,677,88.51,4.967,2.17,40.6,678,260293,191545
LOAN_000015,1,8/31/2020,17,2022Q1,677,88.51,4.967,2.18,28.1,678,260293,187249
LOAN_000015,2,8/31/2020,18,2022Q1,677,88.51,4.967,1.95,32.4,678,260293,182952
LOAN_000015,3,8/31/2020,19,2022Q1,677,88.51,4.967,1.98,23,678,260293,178655
LOAN_000016,12,11/18/2020,1,2020Q4,656,88.2,4.861,1.26,32.6,672,245920,242000
LOAN_000016,1,11/18/2020,2,2021Q1,656,88.2,4.861,1.32,43.8,672,245920,238081
LOAN_000016,2,11/18/2020,3,2021Q1,656,88.2,4.861,1.39,45.5,672,245920,234162
LOAN_000016,3,11/18/2020,4,2021Q1,656,88.2,4.861,1.35,53.1,672,245920,230243
LOAN_000016,4,11/18/2020,5,2021Q2,656,88.2,4.861,1.34,32.4,672,245920,226324
LOAN_000016,5,11/18/2020,6,2021Q2,656,88.2,4.861,1.44,34.6,672,245920,222405
LOAN_000016,6,11/18/2020,7,2021Q2,656,88.2,4.861,1.33,39.7,672,245920,218485
LOAN_000016,7,11/18/2020,8,2021Q3,656,88.2,4.861,1.41,38.8,672,245920,214566
LOAN_000016,8,11/18/2020,9,2021Q3,656,88.2,4.861,1.42,37.2,672,245920,210647
LOAN_000016,9,11/18/2020,10,2021Q3,656,88.2,4.861,1.31,44.7,672,245920,206728
LOAN_000016,10,11/18/2020,11,2021Q4,656,88.2,4.861,1.29,34.8,672,245920,202809
LOAN_000017,12,11/10/2022,1,2022Q4,717,77.21,4.27,1.98,35.6,699,430556,422708
LOAN_000017,1,11/10/2022,2,2023Q1,717,77.21,4.27,1.63,30,699,430556,414861
LOAN_000017,2,11/10/2022,3,2023Q1,717,77.21,4.27,1.66,36.6,699,430556,407014
LOAN_000017,3,11/10/2022,4,2023Q1,717,77.21,4.27,1.85,27.4,699,430556,399167
LOAN_000017,4,11/10/2022,5,2023Q2,717,77.21,4.27,1.73,32.5,699,430556,391320
LOAN_000017,5,11/10/2022,6,2023Q2,717,77.21,4.27,1.76,33.7,699,430556,383473
LOAN_000017,6,11/10/2022,7,2023Q2,717,77.21,4.27,1.73,42.8,699,430556,375626
LOAN_000017,7,11/10/2022,8,2023Q3,717,77.21,4.27,1.75,28.8,699,430556,367779
LOAN_000017,8,11/10/2022,9,2023Q3,717,77.21,4.27,1.86,31.3,699,430556,359932
LOAN_000017,9,11/10/2022,10,2023Q3,717,77.21,4.27,1.84,23.4,699,430556,352084
LOAN_000017,10,11/10/2022,11,2023Q4,717,77.21,4.27,1.88,30.6,699,430556,344237
LOAN_000017,11,11/10/2022,12,2023Q4,717,77.21,4.27,1.85,33.1,699,430556,336390
LOAN_000018,11,10/18/2020,1,2020Q4,711,92.15,4.085,1.89,41.9,713,52734,51732
LOAN_000018,12,10/18/2020,2,2020Q4,711,92.15,4.085,1.87,30.3,713,52734,50731
LOAN_000018,1,10/18/2020,3,2021Q1,711,92.15,4.085,1.85,33.3,713,52734,49730
LOAN_000018,2,10/18/2020,4,2021Q1,711,92.15,4.085,1.95,32.1,713,52734,48728
LOAN_000018,3,10/18/2020,5,2021Q1,711,92.15,4.085,2.01,33.4,713,52734,47727
LOAN_000018,4,10/18/2020,6,2021Q2,711,92.15,4.085,1.91,32.4,713,52734,46726
LOAN_000018,5,10/18/2020,7,2021Q2,711,92.15,4.085,2.15,35.3,713,52734,45724
LOAN_000018,6,10/18/2020,8,2021Q2,711,92.15,4.085,2.12,30,713,52734,44723
LOAN_000019,8,7/4/2020,1,2020Q3,680,80.4,4.283,2.17,47.6,666,416474,408784
LOAN_000019,9,7/4/2020,2,2020Q3,680,80.4,4.283,2.27,35.4,666,416474,401095
LOAN_000019,10,7/4/2020,3,2020Q4,680,80.4,4.283,2.23,53,666,416474,393405
LOAN_000019,11,7/4/2020,4,2020Q4,680,80.4,4.283,2.38,41.9,666,416474,385716
LOAN_000019,12,7/4/2020,5,2020Q4,680,80.4,4.283,2.31,38.8,666,416474,378027
LOAN_000020,3,2/2/2024,1,2024Q1,633,78.54,5.44,2.21,36,634,544561,531924
LOAN_000020,4,2/2/2024,2,2024Q2,633,78.54,5.44,2.09,37.3,634,544561,519288
LOAN_000020,5,2/2/2024,3,2024Q2,633,78.54,5.44,2.14,39.7,634,544561,506652
LOAN_000020,6,2/2/2024,4,2024Q2,633,78.54,5.44,2.27,34,634,544561,494016
LOAN_000020,7,2/2/2024,5,2024Q3,633,78.54,5.44,2.31,36,634,544561,481380
LOAN_000020,8,2/2/2024,6,2024Q3,633,78.54,5.44,2.28,36.1,634,544561,468744
LOAN_000020,9,2/2/2024,7,2024Q3,633,78.54,5.44,1.98,41.6,634,544561,456108
LOAN_000020,10,2/2/2024,8,2024Q4,633,78.54,5.44,2.29,36.5,634,544561,443471
LOAN_000020,11,2/2/2024,9,2024Q4,633,78.54,5.44,2.15,44,634,544561,430835
LOAN_000020,12,2/2/2024,10,2024Q4,633,78.54,5.44,2.29,30.7,634,544561,418199
LOAN_000020,1,2/2/2024,11,2025Q1,633,78.54,5.44,2.32,51.1,634,544561,405563
LOAN_000020,2,2/2/2024,12,2025Q1,633,78.54,5.44,2.19,38.7,634,544561,392927
LOAN_000020,3,2/2/2024,13,2025Q1,633,78.54,5.44,2,44.2,634,544561,380291
LOAN_000020,4,2/2/2024,14,2025Q2,633,78.54,5.44,2.26,42.7,634,544561,367655
LOAN_000020,5,2/2/2024,15,2025Q2,633,78.54,5.44,2.04,45.6,634,544561,355018
LOAN_000020,6,2/2/2024,16,2025Q2,633,78.54,5.44,2.23,37.4,634,544561,342382
LOAN_000020,7,2/2/2024,17,2025Q3,633,78.54,5.44,1.93,44.9,634,544561,329746
LOAN_000020,8,2/2/2024,18,2025Q3,633,78.54,5.44,2.15,29.5,634,544561,317110
LOAN_000020,9,2/2/2024,19,2025Q3,633,78.54,5.44,2.13,38.8,634,544561,304474
LOAN_000020,10,2/2/2024,20,2025Q4,633,78.54,5.44,2.25,39.7,634,544561,291838
LOAN_000020,11,2/2/2024,21,2025Q4,633,78.54,5.44,2.18,42.3,634,544561,279202
LOAN_000020,12,2/2/2024,22,2025Q4,633,78.54,5.44,1.82,35,634,544561,266565
LOAN_000021,8,7/22/2020,1,2020Q3,637,87.52,4.974,1.31,43,647,559764,550732
LOAN_000021,9,7/22/2020,2,2020Q3,637,87.52,4.974,1.19,45.8,647,559764,541700
LOAN_000021,10,7/22/2020,3,2020Q4,637,87.52,4.974,1.14,41.6,647,559764,532669
LOAN_000021,11,7/22/2020,4,2020Q4,637,87.52,4.974,1.1,34.2,647,559764,523637
LOAN_000021,12,7/22/2020,5,2020Q4,637,87.52,4.974,1.12,45.8,647,559764,514606
LOAN_000021,1,7/22/2020,6,2021Q1,637,87.52,4.974,1.02,41.6,647,559764,505574
LOAN_000021,2,7/22/2020,7,2021Q1,637,87.52,4.974,0.99,43.6,647,559764,496542
LOAN_000021,3,7/22/2020,8,2021Q1,637,87.52,4.974,1.12,42.8,647,559764,487511
LOAN_000021,4,7/22/2020,9,2021Q2,637,87.52,4.974,1.25,32.6,647,559764,478479
LOAN_000021,5,7/22/2020,10,2021Q2,637,87.52,4.974,1.32,40.5,647,559764,469448
LOAN_000021,6,7/22/2020,11,2021Q2,637,87.52,4.974,1.05,48.7,647,559764,460416
LOAN_000021,7,7/22/2020,12,2021Q3,637,87.52,4.974,1.02,37.4,647,559764,451384
LOAN_000021,8,7/22/2020,13,2021Q3,637,87.52,4.974,1.1,33.4,647,559764,442353
LOAN_000021,9,7/22/2020,14,2021Q3,637,87.52,4.974,0.95,48.6,647,559764,433321
LOAN_000021,10,7/22/2020,15,2021Q4,637,87.52,4.974,1.22,45.6,647,559764,424290
LOAN_000021,11,7/22/2020,16,2021Q4,637,87.52,4.974,1.21,44.1,647,559764,415258
LOAN_000021,12,7/22/2020,17,2021Q4,637,87.52,4.974,1.21,35.8,647,559764,406226
LOAN_000021,1,7/22/2020,18,2022Q1,637,87.52,4.974,0.89,38.6,647,559764,397195
LOAN_000022,7,6/10/2022,1,2022Q3,719,82.06,4.156,1.67,28.7,726,424444,417157
LOAN_000022,8,6/10/2022,2,2022Q3,719,82.06,4.156,1.54,35,726,424444,409870
LOAN_000022,9,6/10/2022,3,2022Q3,719,82.06,4.156,1.49,28.8,726,424444,402583
LOAN_000023,3,2/10/2019,1,2019Q1,676,71.1,4.494,1.46,35,678,282329,277360
LOAN_000023,4,2/10/2019,2,2019Q2,676,71.1,4.494,1.3,34.2,678,282329,272391
LOAN_000023,5,2/10/2019,3,2019Q2,676,71.1,4.494,1.53,29.9,678,282329,267422
LOAN_000023,6,2/10/2019,4,2019Q2,676,71.1,4.494,1.53,36.8,678,282329,262453
LOAN_000023,7,2/10/2019,5,2019Q3,676,71.1,4.494,1.48,41.4,678,282329,257484
LOAN_000023,8,2/10/2019,6,2019Q3,676,71.1,4.494,1.48,31.3,678,282329,252515
LOAN_000023,9,2/10/2019,7,2019Q3,676,71.1,4.494,1.42,44.4,678,282329,247547
LOAN_000023,10,2/10/2019,8,2019Q4,676,71.1,4.494,1.46,39.2,678,282329,242578
LOAN_000023,11,2/10/2019,9,2019Q4,676,71.1,4.494,1.4,44.3,678,282329,237609
LOAN_000023,12,2/10/2019,10,2019Q4,676,71.1,4.494,1.43,43.2,678,282329,232640
LOAN_000023,1,2/10/2019,11,2020Q1,676,71.1,4.494,1.48,34,678,282329,227671
LOAN_000023,2,2/10/2019,12,2020Q1,676,71.1,4.494,1.66,39.2,678,282329,222702
LOAN_000023,3,2/10/2019,13,2020Q1,676,71.1,4.494,1.48,39,678,282329,217733
LOAN_000023,4,2/10/2019,14,2020Q2,676,71.1,4.494,1.52,45.4,678,282329,212765
LOAN_000023,5,2/10/2019,15,2020Q2,676,71.1,4.494,1.6,34.2,678,282329,207796
LOAN_000023,6,2/10/2019,16,2020Q2,676,71.1,4.494,1.4,33.8,678,282329,202827
LOAN_000023,7,2/10/2019,17,2020Q3,676,71.1,4.494,1.37,33.2,678,282329,197858
LOAN_000023,8,2/10/2019,18,2020Q3,676,71.1,4.494,1.44,39.1,678,282329,192889
LOAN_000023,9,2/10/2019,19,2020Q3,676,71.1,4.494,1.44,20.1,678,282329,187920
LOAN_000023,10,2/10/2019,20,2020Q4,676,71.1,4.494,1.55,34.9,678,282329,182952
LOAN_000023,11,2/10/2019,21,2020Q4,676,71.1,4.494,1.72,34.6,678,282329,177983
LOAN_000023,12,2/10/2019,22,2020Q4,676,71.1,4.494,1.43,44.4,678,282329,173014
LOAN_000023,1,2/10/2019,23,2021Q1,676,71.1,4.494,1.52,43.2,678,282329,168045
LOAN_000024,7,6/15/2019,1,2019Q3,752,75.74,3.35,1.28,28.5,762,371142,363901
LOAN_000024,8,6/15/2019,2,2019Q3,752,75.74,3.35,1.24,39.4,762,371142,356660
LOAN_000024,9,6/15/2019,3,2019Q3,752,75.74,3.35,1.36,28.9,762,371142,349420
LOAN_000024,10,6/15/2019,4,2019Q4,752,75.74,3.35,1.28,32.2,762,371142,342179
LOAN_000024,11,6/15/2019,5,2019Q4,752,75.74,3.35,1.34,22.2,762,371142,334938
LOAN_000024,12,6/15/2019,6,2019Q4,752,75.74,3.35,1.08,31.7,762,371142,327698
LOAN_000024,1,6/15/2019,7,2020Q1,752,75.74,3.35,1.02,32.3,762,371142,320457
LOAN_000024,2,6/15/2019,8,2020Q1,752,75.74,3.35,1.11,41.6,762,371142,313216
LOAN_000024,3,6/15/2019,9,2020Q1,752,75.74,3.35,1.14,37.9,762,371142,305976
LOAN_000025,10,9/25/2020,1,2020Q4,689,81.27,4.235,2.07,33.6,696,241235,237076
LOAN_000025,11,9/25/2020,2,2020Q4,689,81.27,4.235,1.96,35,696,241235,232917
LOAN_000025,12,9/25/2020,3,2020Q4,689,81.27,4.235,2.2,44.6,696,241235,228759
LOAN_000025,1,9/25/2020,4,2021Q1,689,81.27,4.235,1.94,40.1,696,241235,224600
LOAN_000025,2,9/25/2020,5,2021Q1,689,81.27,4.235,1.88,34.3,696,241235,220442
LOAN_000025,3,9/25/2020,6,2021Q1,689,81.27,4.235,1.94,33,696,241235,216283
LOAN_000026,7,6/30/2022,1,2022Q3,681,81.02,4.636,1.58,40.9,692,531380,518168
LOAN_000026,8,6/30/2022,2,2022Q3,681,81.02,4.636,1.5,40.8,692,531380,504957
LOAN_000026,9,6/30/2022,3,2022Q3,681,81.02,4.636,1.6,45.9,692,531380,491745
LOAN_000026,10,6/30/2022,4,2022Q4,681,81.02,4.636,1.5,39,692,531380,478534
LOAN_000026,11,6/30/2022,5,2022Q4,681,81.02,4.636,1.64,39.3,692,531380,465322
LOAN_000026,12,6/30/2022,6,2022Q4,681,81.02,4.636,1.41,31.1,692,531380,452111
LOAN_000026,1,6/30/2022,7,2023Q1,681,81.02,4.636,1.53,38.4,692,531380,438899
LOAN_000026,2,6/30/2022,8,2023Q1,681,81.02,4.636,1.45,38.2,692,531380,425688
LOAN_000026,3,6/30/2022,9,2023Q1,681,81.02,4.636,1.59,29.1,692,531380,412476
LOAN_000026,4,6/30/2022,10,2023Q2,681,81.02,4.636,1.36,35.2,692,531380,399265
LOAN_000026,5,6/30/2022,11,2023Q2,681,81.02,4.636,1.44,43.7,692,531380,386053
LOAN_000026,6,6/30/2022,12,2023Q2,681,81.02,4.636,1.51,49.8,692,531380,372842
LOAN_000026,7,6/30/2022,13,2023Q3,681,81.02,4.636,1.74,39,692,531380,359630
LOAN_000026,8,6/30/2022,14,2023Q3,681,81.02,4.636,1.77,44.3,692,531380,346419
LOAN_000026,9,6/30/2022,15,2023Q3,681,81.02,4.636,1.46,29.3,692,531380,333207
LOAN_000026,10,6/30/2022,16,2023Q4,681,81.02,4.636,1.66,38.1,692,531380,319996
LOAN_000026,11,6/30/2022,17,2023Q4,681,81.02,4.636,1.41,36.9,692,531380,306784
LOAN_000027,7,6/19/2023,1,2023Q3,653,78.37,5.039,1.42,43.7,640,312567,307704
LOAN_000027,8,6/19/2023,2,2023Q3,653,78.37,5.039,1.4,48.7,640,312567,302842
LOAN_000027,9,6/19/2023,3,2023Q3,653,78.37,5.039,1.49,42.6,640,312567,297979
LOAN_000027,10,6/19/2023,4,2023Q4,653,78.37,5.039,1.67,31,640,312567,293117
LOAN_000027,11,6/19/2023,5,2023Q4,653,78.37,5.039,1.46,37.6,640,312567,288254
LOAN_000027,12,6/19/2023,6,2023Q4,653,78.37,5.039,1.33,43,640,312567,283392
LOAN_000027,1,6/19/2023,7,2024Q1,653,78.37,5.039,1.43,49,640,312567,278529
LOAN_000027,2,6/19/2023,8,2024Q1,653,78.37,5.039,1.42,38.7,640,312567,273667
LOAN_000028,9,8/1/2023,1,2023Q3,701,73.04,4.473,2.03,40,671,794864,775072
LOAN_000028,10,8/1/2023,2,2023Q4,701,73.04,4.473,1.98,39.1,671,794864,755280
LOAN_000028,11,8/1/2023,3,2023Q4,701,73.04,4.473,2.23,37.6,671,794864,735488
LOAN_000028,12,8/1/2023,4,2023Q4,701,73.04,4.473,2.01,22.6,671,794864,715696
LOAN_000028,1,8/1/2023,5,2024Q1,701,73.04,4.473,2.07,37.8,671,794864,695905
LOAN_000028,2,8/1/2023,6,2024Q1,701,73.04,4.473,2.03,36.8,671,794864,676113
LOAN_000028,3,8/1/2023,7,2024Q1,701,73.04,4.473,2.07,35.4,671,794864,656321
LOAN_000028,4,8/1/2023,8,2024Q2,701,73.04,4.473,2.11,40.8,671,794864,636529
LOAN_000028,5,8/1/2023,9,2024Q2,701,73.04,4.473,2.05,36.6,671,794864,616737
LOAN_000028,6,8/1/2023,10,2024Q2,701,73.04,4.473,2.05,32.5,671,794864,596946
LOAN_000028,7,8/1/2023,11,2024Q3,701,73.04,4.473,2.05,36.9,671,794864,577154
LOAN_000028,8,8/1/2023,12,2024Q3,701,73.04,4.473,2.3,36.4,671,794864,557362
LOAN_000028,9,8/1/2023,13,2024Q3,701,73.04,4.473,2.06,39.3,671,794864,537570
LOAN_000029,6,5/23/2019,1,2019Q2,699,78.24,4.697,0.84,29.1,686,610709,598021
LOAN_000029,7,5/23/2019,2,2019Q3,699,78.24,4.697,1.01,31.4,686,610709,585334
LOAN_000029,8,5/23/2019,3,2019Q3,699,78.24,4.697,0.85,36.4,686,610709,572646
LOAN_000029,9,5/23/2019,4,2019Q3,699,78.24,4.697,0.93,25.8,686,610709,559959
LOAN_000029,10,5/23/2019,5,2019Q4,699,78.24,4.697,1.11,39.7,686,610709,547272
LOAN_000029,11,5/23/2019,6,2019Q4,699,78.24,4.697,1,43.7,686,610709,534584
LOAN_000029,12,5/23/2019,7,2019Q4,699,78.24,4.697,1.1,39.3,686,610709,521897
LOAN_000029,1,5/23/2019,8,2020Q1,699,78.24,4.697,1.04,32.7,686,610709,509209
LOAN_000029,2,5/23/2019,9,2020Q1,699,78.24,4.697,0.91,38.4,686,610709,496522
LOAN_000029,3,5/23/2019,10,2020Q1,699,78.24,4.697,1,43.4,686,610709,483835
LOAN_000029,4,5/23/2019,11,2020Q2,699,78.24,4.697,0.91,35.6,686,610709,471147
LOAN_000029,5,5/23/2019,12,2020Q2,699,78.24,4.697,0.78,31.3,686,610709,458460
LOAN_000029,6,5/23/2019,13,2020Q2,699,78.24,4.697,1.25,35.4,686,610709,445772
LOAN_000029,7,5/23/2019,14,2020Q3,699,78.24,4.697,1.3,30.1,686,610709,433085
LOAN_000029,8,5/23/2019,15,2020Q3,699,78.24,4.697,0.96,42.2,686,610709,420398
LOAN_000029,9,5/23/2019,16,2020Q3,699,78.24,4.697,0.99,35.3,686,610709,407710
LOAN_000029,10,5/23/2019,17,2020Q4,699,78.24,4.697,1.05,43.7,686,610709,395023
LOAN_000029,11,5/23/2019,18,2020Q4,699,78.24,4.697,1.04,41.1,686,610709,382335
LOAN_000029,12,5/23/2019,19,2020Q4,699,78.24,4.697,1.04,34.6,686,610709,369648
LOAN_000029,1,5/23/2019,20,2021Q1,699,78.24,4.697,0.86,33.1,686,610709,356961
LOAN_000030,11,10/4/2021,1,2021Q4,740,85.86,3.967,1.57,32.1,743,261220,255481
LOAN_000030,12,10/4/2021,2,2021Q4,740,85.86,3.967,1.41,32.3,743,261220,249743
LOAN_000030,1,10/4/2021,3,2022Q1,740,85.86,3.967,1.72,24.3,743,261220,244005
LOAN_000030,2,10/4/2021,4,2022Q1,740,85.86,3.967,1.54,32,743,261220,238267
LOAN_000030,3,10/4/2021,5,2022Q1,740,85.86,3.967,1.61,30.6,743,261220,232529
LOAN_000030,4,10/4/2021,6,2022Q2,740,85.86,3.967,1.58,43.7,743,261220,226791
LOAN_000030,5,10/4/2021,7,2022Q2,740,85.86,3.967,1.52,28.1,743,261220,221053
LOAN_000030,6,10/4/2021,8,2022Q2,740,85.86,3.967,1.47,36.4,743,261220,215315
LOAN_000030,7,10/4/2021,9,2022Q3,740,85.86,3.967,1.3,35.3,743,261220,209577
LOAN_000030,8,10/4/2021,10,2022Q3,740,85.86,3.967,1.59,29.9,743,261220,203839
LOAN_000030,9,10/4/2021,11,2022Q3,740,85.86,3.967,1.45,37.4,743,261220,198100
LOAN_000030,10,10/4/2021,12,2022Q4,740,85.86,3.967,1.5,23.5,743,261220,192362
LOAN_000030,11,10/4/2021,13,2022Q4,740,85.86,3.967,1.51,25.4,743,261220,186624
LOAN_000030,12,10/4/2021,14,2022Q4,740,85.86,3.967,1.4,31,743,261220,180886
LOAN_000030,1,10/4/2021,15,2023Q1,740,85.86,3.967,1.51,35.1,743,261220,175148
LOAN_000030,2,10/4/2021,16,2023Q1,740,85.86,3.967,1.34,36.5,743,261220,169410
LOAN_000031,1,12/8/2019,1,2020Q1,682,83.77,4.413,1.67,36.9,657,832877,819672
LOAN_000031,2,12/8/2019,2,2020Q1,682,83.77,4.413,1.67,33.5,657,832877,806468
LOAN_000031,3,12/8/2019,3,2020Q1,682,83.77,4.413,1.72,32.9,657,832877,793264
LOAN_000031,4,12/8/2019,4,2020Q2,682,83.77,4.413,1.67,36.3,657,832877,780060
LOAN_000031,5,12/8/2019,5,2020Q2,682,83.77,4.413,1.54,49.7,657,832877,766856
LOAN_000031,6,12/8/2019,6,2020Q2,682,83.77,4.413,1.38,43.8,657,832877,753652
